image_id,split,image_path,width,height,total_labels,small_labels,medium_labels,large_labels,small_ratio,border_object_count,border_object_ratio,density_level,small_object_level,dominant_classes,roi_best_by_small_efficiency,roi_best_by_small_coverage
0000031_00000_d_0000037,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000031_00000_d_0000037.jpg,960,540,164,107,57,0,0.6524390243902439,50,0.3048780487804878,high,many_small,pedestrian|people|bicycle,horizon,density
0000031_02000_d_0000041,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000031_02000_d_0000041.jpg,960,540,67,25,42,0,0.373134328358209,30,0.44776119402985076,medium,some_small,pedestrian|people|bicycle,horizon,density
0000031_03527_d_0000043,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000031_03527_d_0000043.jpg,960,540,82,36,46,0,0.43902439024390244,26,0.3170731707317073,medium,some_small,pedestrian|people|bicycle,horizon,density
0000036_00500_d_0000046,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000036_00500_d_0000046.jpg,960,540,101,94,7,0,0.9306930693069307,4,0.039603960396039604,high,many_small,pedestrian,center,density
0000036_03591_d_0000048,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000036_03591_d_0000048.jpg,960,540,51,20,31,0,0.39215686274509803,13,0.2549019607843137,medium,some_small,pedestrian,horizon,horizon
0000037_01494_d_0000052,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000037_01494_d_0000052.jpg,960,540,227,171,56,0,0.7533039647577092,36,0.15859030837004406,high,many_small,pedestrian|people|bicycle,horizon,uncertain
0000039_00000_d_0000055,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000039_00000_d_0000055.jpg,960,540,60,48,12,0,0.8,8,0.13333333333333333,medium,many_small,pedestrian|bicycle|tricycle,horizon,density
0000039_05300_d_0000061,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000039_05300_d_0000061.jpg,960,540,66,62,4,0,0.9393939393939394,26,0.3939393939393939,medium,many_small,pedestrian|people|motor,horizon,density
0000039_05625_d_0000062,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000039_05625_d_0000062.jpg,960,540,58,54,4,0,0.9310344827586207,5,0.08620689655172414,medium,many_small,pedestrian|people|motor,horizon,density
0000040_01000_d_0000066,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000040_01000_d_0000066.jpg,960,540,67,38,29,0,0.5671641791044776,22,0.3283582089552239,medium,some_small,pedestrian|people|bicycle,horizon,horizon
0000040_01500_d_0000067,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000040_01500_d_0000067.jpg,960,540,37,34,3,0,0.918918918918919,8,0.21621621621621623,medium,many_small,pedestrian,center,density
0000040_02454_d_0000068,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000040_02454_d_0000068.jpg,960,540,19,6,13,0,0.3157894736842105,5,0.2631578947368421,low,few_small,pedestrian,density,density
0000040_03288_d_0000069,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000040_03288_d_0000069.jpg,960,540,42,29,13,0,0.6904761904761905,12,0.2857142857142857,medium,some_small,pedestrian|people|bicycle,horizon,density
0000040_03752_d_0000070,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000040_03752_d_0000070.jpg,960,540,17,14,3,0,0.8235294117647058,5,0.29411764705882354,low,many_small,pedestrian|people|bicycle,horizon,uncertain
0000040_04284_d_0000071,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000040_04284_d_0000071.jpg,960,540,131,131,0,0,1.0,57,0.4351145038167939,high,many_small,pedestrian|bicycle|people,horizon,density
0000042_01000_d_0000074,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000042_01000_d_0000074.jpg,960,540,129,127,2,0,0.9844961240310077,8,0.06201550387596899,high,many_small,pedestrian|people|motor,center,density
0000042_02231_d_0000075,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000042_02231_d_0000075.jpg,960,540,96,94,2,0,0.9791666666666666,10,0.10416666666666667,medium,many_small,pedestrian|people|motor,center,density
0000042_02421_d_0000076,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000042_02421_d_0000076.jpg,960,540,94,88,6,0,0.9361702127659575,10,0.10638297872340426,medium,many_small,pedestrian|people|motor,center,density
0000043_00500_d_0000077,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000043_00500_d_0000077.jpg,960,540,162,162,0,0,1.0,10,0.06172839506172839,high,many_small,pedestrian|people|motor,center,density
0000045_00000_d_0000083,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000045_00000_d_0000083.jpg,960,540,154,151,3,0,0.9805194805194806,16,0.1038961038961039,high,many_small,pedestrian|people|motor,center,uncertain
0000045_00500_d_0000084,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000045_00500_d_0000084.jpg,960,540,150,149,1,0,0.9933333333333333,10,0.06666666666666667,high,many_small,pedestrian|people|motor,center,density
0000045_01032_d_0000085,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000045_01032_d_0000085.jpg,960,540,56,56,0,0,1.0,4,0.07142857142857142,medium,many_small,pedestrian|people|motor,center,density
0000045_01500_d_0000086,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000045_01500_d_0000086.jpg,960,540,105,101,4,0,0.9619047619047619,5,0.047619047619047616,high,many_small,pedestrian|people|motor,center,density
0000046_00000_d_0000087,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000046_00000_d_0000087.jpg,960,540,132,129,3,0,0.9772727272727273,13,0.09848484848484848,high,many_small,pedestrian|people|motor,center,uncertain
0000046_00720_d_0000088,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000046_00720_d_0000088.jpg,960,540,69,62,7,0,0.8985507246376812,6,0.08695652173913043,medium,many_small,people|pedestrian|motor,center,density
0000047_01000_d_0000090,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000047_01000_d_0000090.jpg,960,540,71,70,1,0,0.9859154929577465,2,0.028169014084507043,medium,many_small,pedestrian|people,center,density
0000047_02500_d_0000093,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000047_02500_d_0000093.jpg,960,540,68,62,6,0,0.9117647058823529,14,0.20588235294117646,medium,many_small,pedestrian|people|motor,horizon,density
0000047_03500_d_0000095,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000047_03500_d_0000095.jpg,960,540,152,152,0,0,1.0,13,0.08552631578947369,high,many_small,pedestrian|people|bicycle,center,density
0000048_01989_d_0000098,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000048_01989_d_0000098.jpg,960,540,99,99,0,0,1.0,5,0.050505050505050504,medium,many_small,pedestrian|people|bicycle,center,center
0000050_00500_d_0000104,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000050_00500_d_0000104.jpg,960,540,99,70,29,0,0.7070707070707071,2,0.020202020202020204,medium,many_small,pedestrian|people|tricycle,center,density
0000056_00727_d_0000111,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000056_00727_d_0000111.jpg,960,540,79,74,5,0,0.9367088607594937,1,0.012658227848101266,medium,many_small,pedestrian|people|motor,center,density
0000059_01886_d_0000114,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000059_01886_d_0000114.jpg,960,540,902,902,0,0,1.0,87,0.09645232815964523,high,many_small,pedestrian|people|car,center,density
0000068_00001_d_0000001,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000068_00001_d_0000001.jpg,1360,765,198,160,37,1,0.8080808080808081,41,0.20707070707070707,high,many_small,pedestrian|people|motor,horizon,density
0000068_00460_d_0000002,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000068_00460_d_0000002.jpg,1360,765,205,147,56,2,0.7170731707317073,40,0.1951219512195122,high,many_small,people|pedestrian|motor,horizon,uncertain
0000068_00571_d_0000003,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000068_00571_d_0000003.jpg,1360,765,211,170,39,2,0.8056872037914692,54,0.2559241706161137,high,many_small,pedestrian|people|car,horizon,uncertain
0000068_01001_d_0000004,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000068_01001_d_0000004.jpg,1360,765,105,89,16,0,0.8476190476190476,9,0.08571428571428572,high,many_small,pedestrian|people|bicycle,horizon,density
0000068_01500_d_0000005,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000068_01500_d_0000005.jpg,1360,765,82,63,19,0,0.7682926829268293,12,0.14634146341463414,medium,many_small,pedestrian|people|motor,horizon,density
0000068_02104_d_0000006,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000068_02104_d_0000006.jpg,1360,765,46,22,24,0,0.4782608695652174,2,0.043478260869565216,medium,some_small,pedestrian|people|motor,horizon,density
0000068_02648_d_0000007,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000068_02648_d_0000007.jpg,1360,765,61,29,32,0,0.47540983606557374,7,0.11475409836065574,medium,some_small,pedestrian|people|motor,horizon,uncertain
0000068_02805_d_0000008,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000068_02805_d_0000008.jpg,1360,765,72,59,13,0,0.8194444444444444,25,0.3472222222222222,medium,many_small,pedestrian|people|bicycle,horizon,horizon
0000068_03174_d_0000009,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000068_03174_d_0000009.jpg,1360,765,171,138,33,0,0.8070175438596491,54,0.3157894736842105,high,many_small,pedestrian|people|car,horizon,horizon
0000068_03388_d_0000010,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000068_03388_d_0000010.jpg,1360,765,139,115,24,0,0.8273381294964028,31,0.22302158273381295,high,many_small,pedestrian|people|car,horizon,density
0000068_03581_d_0000011,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000068_03581_d_0000011.jpg,1360,765,61,48,13,0,0.7868852459016393,11,0.18032786885245902,medium,many_small,pedestrian|bicycle|motor,horizon,density
0000068_03714_d_0000012,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000068_03714_d_0000012.jpg,1360,765,103,84,19,0,0.8155339805825242,12,0.11650485436893204,high,many_small,pedestrian|people|motor,horizon,uncertain
0000068_03918_d_0000013,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000068_03918_d_0000013.jpg,1360,765,43,31,12,0,0.7209302325581395,9,0.20930232558139536,medium,some_small,pedestrian|bicycle|motor,horizon,horizon
0000068_04169_d_0000014,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000068_04169_d_0000014.jpg,1360,765,189,149,40,0,0.7883597883597884,46,0.24338624338624337,high,many_small,pedestrian|people|car,horizon,uncertain
0000070_04722_d_0000001,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000070_04722_d_0000001.jpg,1360,765,101,27,73,1,0.26732673267326734,12,0.1188118811881188,high,some_small,pedestrian|car|people,horizon,uncertain
0000070_05163_d_0000002,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000070_05163_d_0000002.jpg,1360,765,77,10,67,0,0.12987012987012986,5,0.06493506493506493,medium,some_small,pedestrian|people|tricycle,horizon,uncertain
0000070_05312_d_0000003,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000070_05312_d_0000003.jpg,1360,765,57,26,31,0,0.45614035087719296,10,0.17543859649122806,medium,some_small,pedestrian|bicycle|motor,horizon,density
0000070_05776_d_0000004,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000070_05776_d_0000004.jpg,1360,765,116,77,39,0,0.6637931034482759,25,0.21551724137931033,high,many_small,pedestrian|people|tricycle,horizon,horizon
0000070_05880_d_0000005,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000070_05880_d_0000005.jpg,1360,765,155,135,20,0,0.8709677419354839,8,0.05161290322580645,high,many_small,pedestrian|people|bicycle,horizon,density
0000070_06990_d_0000007,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000070_06990_d_0000007.jpg,1360,765,159,84,75,0,0.5283018867924528,14,0.0880503144654088,high,many_small,pedestrian|people|bicycle,horizon,uncertain
0000071_00007_d_0000001,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000071_00007_d_0000001.jpg,1360,765,75,6,67,2,0.08,4,0.05333333333333334,medium,few_small,pedestrian|people|motor,center,uncertain
0000071_02729_d_0000002,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000071_02729_d_0000002.jpg,1360,765,91,9,81,1,0.0989010989010989,4,0.04395604395604396,medium,few_small,pedestrian|people|car,horizon,horizon
0000071_03136_d_0000003,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000071_03136_d_0000003.jpg,1360,765,78,18,58,2,0.23076923076923078,6,0.07692307692307693,medium,some_small,pedestrian|people|car,center,uncertain
0000071_03281_d_0000004,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000071_03281_d_0000004.jpg,1360,765,49,19,29,1,0.3877551020408163,23,0.46938775510204084,medium,some_small,pedestrian|car|van,horizon,horizon
0000071_03470_d_0000005,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000071_03470_d_0000005.jpg,1360,765,39,18,14,7,0.46153846153846156,10,0.2564102564102564,medium,some_small,pedestrian|car|people,horizon,horizon
0000071_03522_d_0000006,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000071_03522_d_0000006.jpg,1360,765,32,17,11,4,0.53125,4,0.125,medium,some_small,pedestrian|car|people,horizon,horizon
0000071_04085_d_0000007,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000071_04085_d_0000007.jpg,1360,765,138,85,50,3,0.6159420289855072,0,0.0,high,many_small,pedestrian|people|motor,horizon,horizon
0000071_05298_d_0000008,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000071_05298_d_0000008.jpg,1360,765,132,18,111,3,0.13636363636363635,8,0.06060606060606061,high,some_small,pedestrian|people|motor,center,uncertain
0000071_06447_d_0000009,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000071_06447_d_0000009.jpg,1360,765,136,16,115,5,0.11764705882352941,6,0.04411764705882353,high,some_small,pedestrian|people|motor,center,uncertain
0000071_06896_d_0000010,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000071_06896_d_0000010.jpg,1360,765,28,17,11,0,0.6071428571428571,4,0.14285714285714285,low,some_small,car|motor|van,center,uncertain
0000071_06967_d_0000011,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000071_06967_d_0000011.jpg,1360,765,33,0,33,0,0.0,13,0.3939393939393939,medium,few_small,pedestrian|people|motor,horizon,horizon
0000071_07349_d_0000012,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000071_07349_d_0000012.jpg,1360,765,64,1,60,3,0.015625,6,0.09375,medium,few_small,pedestrian|people|bicycle,center,horizon
0000071_07913_d_0000013,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000071_07913_d_0000013.jpg,1360,765,21,0,20,1,0.0,10,0.47619047619047616,low,few_small,pedestrian|car|people,horizon,horizon
0000072_00000_d_0000001,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000072_00000_d_0000001.jpg,1360,765,85,57,24,4,0.6705882352941176,6,0.07058823529411765,medium,many_small,pedestrian|people|car,center,density
0000072_00137_d_0000002,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000072_00137_d_0000002.jpg,1360,765,104,59,43,2,0.5673076923076923,3,0.028846153846153848,high,many_small,pedestrian|people|motor,horizon,uncertain
0000072_03425_d_0000004,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000072_03425_d_0000004.jpg,1360,765,123,82,40,1,0.6666666666666666,12,0.0975609756097561,high,many_small,pedestrian|people|car,center,uncertain
0000072_04493_d_0000005,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000072_04493_d_0000005.jpg,1360,765,120,63,54,3,0.525,10,0.08333333333333333,high,many_small,pedestrian|people|tricycle,center,density
0000072_05285_d_0000006,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000072_05285_d_0000006.jpg,1360,765,69,23,45,1,0.3333333333333333,12,0.17391304347826086,medium,some_small,pedestrian|people|car,center,density
0000072_05564_d_0000007,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000072_05564_d_0000007.jpg,1360,765,77,13,58,6,0.16883116883116883,22,0.2857142857142857,medium,some_small,pedestrian|people|motor,horizon,density
0000072_05654_d_0000008,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000072_05654_d_0000008.jpg,1360,765,54,24,25,5,0.4444444444444444,28,0.5185185185185185,medium,some_small,pedestrian|people|motor,horizon,density
0000072_05827_d_0000009,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000072_05827_d_0000009.jpg,1360,765,60,40,15,5,0.6666666666666666,20,0.3333333333333333,medium,some_small,pedestrian|people|motor,horizon,uncertain
0000072_06173_d_0000010,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000072_06173_d_0000010.jpg,1360,765,98,71,25,2,0.7244897959183674,9,0.09183673469387756,medium,many_small,pedestrian|people|car,center,density
0000072_07242_d_0000011,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000072_07242_d_0000011.jpg,1360,765,64,34,29,1,0.53125,8,0.125,medium,some_small,pedestrian|car|people,horizon,density
0000072_07660_d_0000012,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000072_07660_d_0000012.jpg,1360,765,46,18,26,2,0.391304347826087,12,0.2608695652173913,medium,some_small,pedestrian|people|van,horizon,uncertain
0000072_08702_d_0000013,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000072_08702_d_0000013.jpg,1360,765,95,16,78,1,0.16842105263157894,7,0.07368421052631578,medium,some_small,pedestrian|people|car,horizon,horizon
0000072_09163_d_0000014,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000072_09163_d_0000014.jpg,1360,765,32,0,30,2,0.0,10,0.3125,medium,few_small,pedestrian|motor|people,horizon,horizon
0000076_00004_d_0000001,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000076_00004_d_0000001.jpg,1360,765,8,0,2,6,0.0,4,0.5,low,few_small,truck|car|motor,horizon,horizon
0000076_00352_d_0000002,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000076_00352_d_0000002.jpg,1360,765,8,0,2,6,0.0,2,0.25,low,few_small,truck|car|motor,horizon,horizon
0000076_00616_d_0000003,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000076_00616_d_0000003.jpg,1360,765,11,0,5,6,0.0,7,0.6363636363636364,low,few_small,car|motor|tricycle,horizon,horizon
0000076_01012_d_0000004,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000076_01012_d_0000004.jpg,1360,765,25,3,12,10,0.12,7,0.28,low,few_small,pedestrian|car|truck,horizon,horizon
0000076_01444_d_0000005,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000076_01444_d_0000005.jpg,1360,765,39,18,15,6,0.46153846153846156,9,0.23076923076923078,medium,some_small,pedestrian|truck|car,horizon,horizon
0000076_01601_d_0000006,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000076_01601_d_0000006.jpg,1360,765,39,11,19,9,0.28205128205128205,9,0.23076923076923078,medium,some_small,pedestrian|truck|people,horizon,horizon
0000076_01792_d_0000007,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000076_01792_d_0000007.jpg,1360,765,51,17,19,15,0.3333333333333333,19,0.37254901960784315,medium,some_small,truck|pedestrian|people,horizon,horizon
0000076_01975_d_0000008,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000076_01975_d_0000008.jpg,1360,765,23,5,16,2,0.21739130434782608,7,0.30434782608695654,low,few_small,truck|pedestrian|people,center,uncertain
0000076_02667_d_0000010,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000076_02667_d_0000010.jpg,1360,765,2,0,1,1,0.0,0,0.0,low,few_small,pedestrian|truck,horizon,horizon
0000076_03315_d_0000011,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000076_03315_d_0000011.jpg,1360,765,114,64,47,3,0.5614035087719298,7,0.06140350877192982,high,many_small,truck|pedestrian|people,horizon,uncertain
0000076_03689_d_0000012,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000076_03689_d_0000012.jpg,1360,765,48,21,17,10,0.4375,26,0.5416666666666666,medium,some_small,pedestrian|truck|tricycle,horizon,horizon
0000076_03930_d_0000013,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000076_03930_d_0000013.jpg,1360,765,64,31,23,10,0.484375,13,0.203125,medium,some_small,pedestrian|truck|people,horizon,horizon
0000076_04200_d_0000014,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000076_04200_d_0000014.jpg,1360,765,15,0,8,7,0.0,10,0.6666666666666666,low,few_small,pedestrian|truck|car,horizon,horizon
0000076_04382_d_0000015,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000076_04382_d_0000015.jpg,1360,765,29,1,19,9,0.034482758620689655,10,0.3448275862068966,low,few_small,pedestrian|truck|tricycle,horizon,horizon
0000076_04674_d_0000016,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000076_04674_d_0000016.jpg,1360,765,14,0,9,5,0.0,4,0.2857142857142857,low,few_small,pedestrian|truck|people,horizon,horizon
0000076_04925_d_0000017,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000076_04925_d_0000017.jpg,1360,765,6,0,2,4,0.0,2,0.3333333333333333,low,few_small,truck|car|pedestrian,horizon,horizon
0000076_04999_d_0000018,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000076_04999_d_0000018.jpg,1360,765,20,10,7,3,0.5,2,0.1,low,some_small,pedestrian|truck|tricycle,center,center
0000076_05079_d_0000019,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000076_05079_d_0000019.jpg,1360,765,47,29,17,1,0.6170212765957447,5,0.10638297872340426,medium,some_small,truck|car|pedestrian,horizon,density
0000079_00507_d_0000001,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000079_00507_d_0000001.jpg,1360,765,55,30,25,0,0.5454545454545454,7,0.12727272727272726,medium,some_small,pedestrian|people|motor,center,density
0000079_00761_d_0000002,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000079_00761_d_0000002.jpg,1360,765,43,20,23,0,0.46511627906976744,7,0.16279069767441862,medium,some_small,pedestrian|people|motor,center,density
0000079_01062_d_0000003,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000079_01062_d_0000003.jpg,1360,765,24,1,23,0,0.041666666666666664,6,0.25,low,few_small,pedestrian|people|motor,center,center
0000079_01316_d_0000004,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000079_01316_d_0000004.jpg,1360,765,13,0,13,0,0.0,4,0.3076923076923077,low,few_small,pedestrian|people|car,horizon,horizon
0000079_01515_d_0000005,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000079_01515_d_0000005.jpg,1360,765,26,5,20,1,0.19230769230769232,1,0.038461538461538464,low,few_small,car|van|motor,horizon,horizon
0000079_01673_d_0000006,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000079_01673_d_0000006.jpg,1360,765,7,0,7,0,0.0,0,0.0,low,few_small,pedestrian,horizon,horizon
0000079_01783_d_0000007,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000079_01783_d_0000007.jpg,1360,765,56,35,19,2,0.625,19,0.3392857142857143,medium,some_small,pedestrian|people|car,horizon,horizon
0000079_02443_d_0000008,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000079_02443_d_0000008.jpg,1360,765,10,6,4,0,0.6,2,0.2,low,some_small,pedestrian,center,center
